chr,start,end,stat,cov_ratio,anomalous,cent_region
1,0,100000,127.16560617760618,4.005588309246826,True,False
1,100000,200000,95.66439382239383,3.0133318986501636,True,False
1,300000,400000,94.46447104247105,2.9755355415711526,True,False
1,400000,500000,49.62552895752896,1.563154099661523,True,False
1,500000,600000,56.94920772200773,1.7938425925760593,True,False
1,600000,700000,138.6659382239382,4.3678371671094345,True,False
1,700000,800000,51.08332664092664,1.609073256054403,True,False
1,2500000,2600000,120.94413899613899,3.8096183692801784,True,False
1,2600000,2700000,207.87413899613898,6.547825673828422,True,False
1,3800000,3900000,11.456248648648648,0.3608602753071515,True,False
1,3900000,4000000,1.045688030888031,0.03293811807726074,True,False
1,12900000,13000000,57.24029034749035,1.803011401633043,True,False
1,13200000,13300000,8.29563861003861,0.26130424753134895,True,False
1,13400000,13500000,54.502657915057924,1.7167787417497502,True,False
1,13500000,13600000,12.792803088803089,0.40296039184870536,True,False
1,13600000,13700000,53.46891119691119,1.6842167629773799,True,False
1,16800000,16900000,61.429266409266404,1.9349599217173974,True,False
1,16900000,17000000,100.90735135135137,3.178479771688559,True,False
1,17000000,17100000,93.1001776061776,2.9325616746344685,True,False
1,17200000,17300000,52.42269498069498,1.6512620075951174,True,False
1,29900000,30000000,0.0,0.0,True,False
1,83600000,83700000,48.261720463320465,1.520195507911303,True,False
1,83700000,83800000,54.63094671814672,1.7208197096286122,True,False
1,83800000,83900000,52.639720463320465,1.6580980913613457,True,False
1,103800000,103900000,14.875684942084941,0.4685690690046625,True,False
1,104200000,104300000,55.526756756756754,1.7490368221468413,True,False
1,120500000,120600000,90.81351351351353,2.860534062514591,True,True
1,120600000,120700000,86.9620386100386,2.7392164884437378,True,True
1,120800000,120900000,87.93577606177605,2.769888235861887,True,True
1,121000000,121100000,7.421675675675676,0.23377529675742736,True,True
1,121100000,121200000,52.852038610038605,1.6647858987952782,True,True
1,121300000,121400000,589.0711613899614,18.55514732562648,True,True
1,121400000,121500000,1051.9840108108108,33.13643509340988,True,True
1,121500000,121600000,92.0691135135135,2.900084195858554,True,True
1,121600000,121700000,0.0,0.0,True,True
1,121700000,121800000,0.0,0.0,True,True
1,121800000,121900000,0.0,0.0,True,True
1,121900000,122000000,0.0,0.0,True,True
1,122000000,122100000,0.0,0.0,True,True
1,122100000,122200000,0.0,0.0,True,True
1,122200000,122300000,0.0,0.0,True,True
1,122300000,122400000,0.0,0.0,True,True
1,122400000,122500000,0.0,0.0,True,True
1,122500000,122600000,0.0,0.0,True,True
1,122600000,122700000,0.0,0.0,True,True
1,122700000,122800000,0.0,0.0,True,True
1,122800000,122900000,0.0,0.0,True,True
1,122900000,123000000,0.0,0.0,True,True
1,123000000,123100000,0.0,0.0,True,True
1,123100000,123200000,0.0,0.0,True,True
1,123200000,123300000,0.0,0.0,True,True
1,123300000,123400000,0.0,0.0,True,True
1,123400000,123500000,0.0,0.0,True,True
1,123500000,123600000,0.0,0.0,True,True
1,123600000,123700000,0.0,0.0,True,True
1,123700000,123800000,0.0,0.0,True,True
1,123800000,123900000,0.0,0.0,True,True
1,123900000,124000000,0.0,0.0,True,True
1,124000000,124100000,0.0,0.0,True,True
1,124100000,124200000,0.0,0.0,True,True
1,124200000,124300000,0.0,0.0,True,True
1,124300000,124400000,0.0,0.0,True,True
1,124400000,124500000,0.0,0.0,True,True
1,124500000,124600000,0.0,0.0,True,True
1,124600000,124700000,0.0,0.0,True,True
1,124700000,124800000,0.0,0.0,True,True
1,124800000,124900000,0.0,0.0,True,True
1,124900000,125000000,0.0,0.0,True,True
1,125000000,125100000,0.0,0.0,True,True
1,125100000,125200000,0.0,0.0,True,True
1,125200000,125300000,0.0,0.0,True,True
1,125300000,125400000,0.0,0.0,True,True
1,125400000,125500000,0.0,0.0,True,True
1,125500000,125600000,0.0,0.0,True,True
1,125600000,125700000,0.0,0.0,True,True
1,125700000,125800000,0.0,0.0,True,True
1,125800000,125900000,0.0,0.0,True,True
1,125900000,126000000,0.0,0.0,True,True
1,126000000,126100000,0.0,0.0,True,True
1,126100000,126200000,0.0,0.0,True,True
1,126200000,126300000,0.0,0.0,True,True
1,126300000,126400000,0.0,0.0,True,True
1,126400000,126500000,0.0,0.0,True,True
1,126500000,126600000,0.0,0.0,True,True
1,126600000,126700000,0.0,0.0,True,True
1,126700000,126800000,0.0,0.0,True,True
1,126800000,126900000,0.0,0.0,True,True
1,126900000,127000000,0.0,0.0,True,True
1,127000000,127100000,0.0,0.0,True,True
1,127100000,127200000,0.0,0.0,True,True
1,127200000,127300000,0.0,0.0,True,True
1,127300000,127400000,0.0,0.0,True,True
1,127400000,127500000,0.0,0.0,True,True
1,127500000,127600000,0.0,0.0,True,True
1,127600000,127700000,0.0,0.0,True,True
1,127700000,127800000,0.0,0.0,True,True
1,127800000,127900000,0.0,0.0,True,True
1,127900000,128000000,0.0,0.0,True,True
1,128000000,128100000,0.0,0.0,True,True
1,128100000,128200000,0.0,0.0,True,True
1,128200000,128300000,0.0,0.0,True,True
1,128300000,128400000,0.0,0.0,True,True
1,128400000,128500000,0.0,0.0,True,True
1,128500000,128600000,0.0,0.0,True,True
1,128600000,128700000,0.0,0.0,True,True
1,128700000,128800000,0.0,0.0,True,True
1,128800000,128900000,0.0,0.0,True,True
1,128900000,129000000,0.0,0.0,True,True
1,129000000,129100000,0.0,0.0,True,True
1,129100000,129200000,0.0,0.0,True,True
1,129200000,129300000,0.0,0.0,True,True
1,129300000,129400000,0.0,0.0,True,True
1,129400000,129500000,0.0,0.0,True,True
1,129500000,129600000,0.0,0.0,True,True
1,129600000,129700000,0.0,0.0,True,True
1,129700000,129800000,0.0,0.0,True,True
1,129800000,129900000,0.0,0.0,True,True
1,129900000,130000000,0.0,0.0,True,True
1,130000000,130100000,0.0,0.0,True,True
1,130100000,130200000,0.0,0.0,True,True
1,130200000,130300000,0.0,0.0,True,True
1,130300000,130400000,0.0,0.0,True,True
1,130400000,130500000,0.0,0.0,True,True
1,130500000,130600000,0.0,0.0,True,True
1,130600000,130700000,0.0,0.0,True,True
1,130700000,130800000,0.0,0.0,True,True
1,130800000,130900000,0.0,0.0,True,True
1,130900000,131000000,0.0,0.0,True,True
1,131000000,131100000,0.0,0.0,True,True
1,131100000,131200000,0.0,0.0,True,True
1,131200000,131300000,0.0,0.0,True,True
1,131300000,131400000,0.0,0.0,True,True
1,131400000,131500000,0.0,0.0,True,True
1,131500000,131600000,0.0,0.0,True,True
1,131600000,131700000,0.0,0.0,True,True
1,131700000,131800000,0.0,0.0,True,True
1,131800000,131900000,0.0,0.0,True,True
1,131900000,132000000,0.0,0.0,True,True
1,132000000,132100000,0.0,0.0,True,True
1,132100000,132200000,0.0,0.0,True,True
1,132200000,132300000,0.0,0.0,True,True
1,132300000,132400000,0.0,0.0,True,True
1,132400000,132500000,0.0,0.0,True,True
1,132500000,132600000,0.0,0.0,True,True
1,132600000,132700000,0.0,0.0,True,True
1,132700000,132800000,0.0,0.0,True,True
1,132800000,132900000,0.0,0.0,True,True
1,132900000,133000000,0.0,0.0,True,True
1,133000000,133100000,0.0,0.0,True,True
1,133100000,133200000,0.0,0.0,True,True
1,133200000,133300000,0.0,0.0,True,True
1,133300000,133400000,0.0,0.0,True,True
1,133400000,133500000,0.0,0.0,True,True
1,133500000,133600000,0.0,0.0,True,True
1,133600000,133700000,0.0,0.0,True,True
1,133700000,133800000,0.0,0.0,True,True
1,133800000,133900000,0.0,0.0,True,True
1,133900000,134000000,0.0,0.0,True,True
1,134000000,134100000,0.0,0.0,True,True
1,134100000,134200000,0.0,0.0,True,True
1,134200000,134300000,0.0,0.0,True,True
1,134300000,134400000,0.0,0.0,True,True
1,134400000,134500000,0.0,0.0,True,True
1,134500000,134600000,0.0,0.0,True,True
1,134600000,134700000,0.0,0.0,True,True
1,134700000,134800000,0.0,0.0,True,True
1,134800000,134900000,0.0,0.0,True,True
1,134900000,135000000,0.0,0.0,True,True
1,135000000,135100000,0.0,0.0,True,True
1,135100000,135200000,0.0,0.0,True,True
1,135200000,135300000,0.0,0.0,True,True
1,135300000,135400000,0.0,0.0,True,True
1,135400000,135500000,0.0,0.0,True,True
1,135500000,135600000,0.0,0.0,True,True
1,135600000,135700000,0.0,0.0,True,True
1,135700000,135800000,0.0,0.0,True,True
1,135800000,135900000,0.0,0.0,True,True
1,135900000,136000000,0.0,0.0,True,True
1,136000000,136100000,0.0,0.0,True,True
1,136100000,136200000,0.0,0.0,True,True
1,136200000,136300000,0.0,0.0,True,True
1,136300000,136400000,0.0,0.0,True,True
1,136400000,136500000,0.0,0.0,True,True
1,136500000,136600000,0.0,0.0,True,True
1,136600000,136700000,0.0,0.0,True,True
1,136700000,136800000,0.0,0.0,True,True
1,136800000,136900000,0.0,0.0,True,True
1,136900000,137000000,0.0,0.0,True,True
1,137000000,137100000,0.0,0.0,True,True
1,137100000,137200000,0.0,0.0,True,True
1,137200000,137300000,0.0,0.0,True,True
1,137300000,137400000,0.0,0.0,True,True
1,137400000,137500000,0.0,0.0,True,True
1,137500000,137600000,0.0,0.0,True,True
1,137600000,137700000,0.0,0.0,True,True
1,137700000,137800000,0.0,0.0,True,True
1,137800000,137900000,0.0,0.0,True,True
1,137900000,138000000,0.0,0.0,True,True
1,138000000,138100000,0.0,0.0,True,True
1,138100000,138200000,0.0,0.0,True,True
1,138200000,138300000,0.0,0.0,True,True
1,138300000,138400000,0.0,0.0,True,True
1,138400000,138500000,0.0,0.0,True,True
1,138500000,138600000,0.0,0.0,True,True
1,138600000,138700000,0.0,0.0,True,True
1,138700000,138800000,0.0,0.0,True,True
1,138800000,138900000,0.0,0.0,True,True
1,138900000,139000000,0.0,0.0,True,True
1,139000000,139100000,0.0,0.0,True,True
1,139100000,139200000,0.0,0.0,True,True
1,139200000,139300000,0.0,0.0,True,True
1,139300000,139400000,0.0,0.0,True,True
1,139400000,139500000,0.0,0.0,True,True
1,139500000,139600000,0.0,0.0,True,True
1,139600000,139700000,0.0,0.0,True,True
1,139700000,139800000,0.0,0.0,True,True
1,139800000,139900000,0.0,0.0,True,True
1,139900000,140000000,0.0,0.0,True,True
1,140000000,140100000,0.0,0.0,True,True
1,140100000,140200000,0.0,0.0,True,True
1,140200000,140300000,0.0,0.0,True,True
